Los Alamos National Laboratory Poisson Superfish
Program SF7 written by James H. Billen and Lloyd M. Young

The original Poisson Superfish codes were developed
by Ron F. Holsinger in collaboration with Klaus Halbach.
These programs are provided as a service to the accelerator
community by the Los Alamos Accelerator Code Group (LAACG).

(c) Copyright 1985-2005, by the Regents of the University of California.        
This software was produced under U. S. Government contract W-7405-ENG-36        
by Los Alamos National Laboratory, which is operated by the University          
of California for the U. S. Department of Energy.  Neither the Government       
nor the University makes any warranty, express or implied, or assumes           
any liability or responsibility for its use, or represents that use of          
this software would not infringe privately owned rights.                        
Unpublished - rights reserved under Copyright Laws of the United States.        


Program SF7  7.17  released 1-13-2006 

Program file: C:\LANL\SF7.EXE
SF.INI file: C:\LANL\SF.INI 12-29-2014   9:59:06
Solution file C:\Users\plane\Documents\Superfish\MC.T35.
Memory used for MC.T35 arrays:     243.100 K
Obtaining filename or plot type and data from SF7 pop-up menu.

Electromagnetic fields for a rectangular area with corners at:
(Zmin,Rmin) = (-5.22,0.0)
(Zmax,Rmax) = (5.22,14.22)
Z and R increments:   200   200

      Z             R              Ez            Er            |E|           H 
    (cm)          (cm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
  -5.22000       0.00000      9.999817E-01  0.000000E+00  9.999817E-01  0.000000E+00
  -5.16780       0.00000      9.999822E-01  0.000000E+00  9.999822E-01  0.000000E+00
  -5.11560       0.00000      9.999834E-01  0.000000E+00  9.999834E-01  0.000000E+00
  -5.06340       0.00000      9.999855E-01  0.000000E+00  9.999855E-01  0.000000E+00
  -5.01120       0.00000      9.999897E-01  0.000000E+00  9.999897E-01  0.000000E+00
  -4.95900       0.00000      9.999895E-01  0.000000E+00  9.999895E-01  0.000000E+00
  -4.90680       0.00000      9.999893E-01  0.000000E+00  9.999893E-01  0.000000E+00
  -4.85460       0.00000      9.999891E-01  0.000000E+00  9.999891E-01  0.000000E+00
  -4.80240       0.00000      9.999975E-01  0.000000E+00  9.999975E-01  0.000000E+00
  -4.75020       0.00000      9.999977E-01  0.000000E+00  9.999977E-01  0.000000E+00
  -4.69800       0.00000      9.999978E-01  0.000000E+00  9.999978E-01  0.000000E+00
  -4.64580       0.00000      9.999977E-01  0.000000E+00  9.999977E-01  0.000000E+00
  -4.59360       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -4.54140       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -4.48920       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -4.43700       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -4.38480       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -4.33260       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
  -4.28040       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
  -4.22820       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -4.17600       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -4.12380       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
  -4.07160       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
  -4.01940       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -3.96720       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -3.91500       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
  -3.86280       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -3.81060       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -3.75840       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -3.70620       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -3.65400       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -3.60180       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -3.54960       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -3.49740       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -3.44520       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -3.39300       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -3.34080       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -3.28860       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -3.23640       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -3.18420       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -3.13200       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -3.07980       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -3.02760       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -2.97540       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -2.92320       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -2.87100       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -2.81880       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -2.76660       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -2.71440       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -2.66220       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -2.61000       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -2.55780       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -2.50560       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -2.45340       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -2.40120       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -2.34900       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -2.29680       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -2.24460       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -2.19240       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -2.14020       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -2.08800       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -2.03580       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -1.98360       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -1.93140       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -1.87920       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -1.82700       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -1.77480       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -1.72260       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -1.67040       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -1.61820       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -1.56600       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -1.51380       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -1.46160       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -1.40940       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -1.35720       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -1.30500       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
  -1.25280       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -1.20060       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -1.14840       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  -1.09620       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
  -1.04400       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
 -0.991800       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
 -0.939600       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
 -0.887400       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
 -0.835200       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
 -0.783000       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
 -0.730800       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
 -0.678600       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
 -0.626400       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
 -0.574200       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
 -0.522000       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
 -0.469800       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
 -0.417600       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
 -0.365400       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
 -0.313200       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
 -0.261000       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
 -0.208800       0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
 -0.156600       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
 -0.104400       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
 -5.220000E-02   0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
  2.525757E-15   0.00000      1.000000E+00  0.000000E+00  1.000000E+00  0.000000E+00
  5.220000E-02   0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
  0.104400       0.00000      1.000001E+00  0.000000E+00  1.000001E+00  0.000000E+00
